파일	테이블명
[20230509_오프라인소행사적재.SQL	wl_mk_prmtn_fgf_prestat
[20230509_오프라인소행사적재.SQL	wl_mk_prmtn_fgf_prestat_dtl
[20230509_오프라인소행사적재.SQL	wl_sl_sale_hdr_dc
[20230509_오프라인소행사적재.SQL	wl_z_camp_cell_cust
[20230509_오프라인오퍼살적적재.SQL	d_intg_memb
[20230509_오프라인오퍼살적적재.SQL	d_ldfp
[20230509_오프라인오퍼살적적재.SQL	d_lgpromo
[20230509_오프라인오퍼살적적재.SQL	d_memb
[20230509_오프라인오퍼살적적재.SQL	d_prmtn
[20230509_오프라인오퍼살적적재.SQL	fl_mk_ldfp_acmlt_use_ptcls
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_actrslt
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_exch_chng_temp_init
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_exch_sl_temp
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_exch_sl_temp_test
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_fgf_prestat_dtl
[20230509_오프라인오퍼살적적재.SQL	fl_mk_prmtn_offer_actrslt_init
[20230509_오프라인오퍼살적적재.SQL	fl_sl_exch_sl
[20230509_오프라인오퍼살적적재.SQL	fl_sl_prod_sl
[20230509_오프라인오퍼살적적재.SQL	temp_prmtn_offer_actrslt_01_init
[20230509_오프라인오퍼살적적재.SQL	temp_prmtn_offer_actrslt_02_init
[20230509_오프라인오퍼살적적재.SQL	temp_prmtn_offer_actrslt_03_init
[20230509_오프라인오퍼살적적재.SQL	temp_prmtn_offer_actrslt_04_init
[20230509_오프라인오퍼살적적재.SQL	temp_prmtn_offer_actrslt_05_init
[20230509_오프라인오퍼살적적재.SQL	wl_lc_prmtn_offer_sect
[20230509_오프라인오퍼살적적재.SQL	wl_lc_prmtn_offer_sect_ldfp
[20230509_오프라인오퍼살적적재.SQL	wl_lp_ldfp_no_acmlt_use_cap_mgt
[20230509_오프라인오퍼살적적재.SQL	wl_mk_fgf_basic_info
[20230509_오프라인오퍼살적적재.SQL	wl_mk_prmtn_fgf_prestat
[20230509_오프라인오퍼살적적재.SQL	wl_mk_prmtn_fgf_prestat_dtl
[20230509_오프라인오퍼살적적재.SQL	wl_sl_pspt_rcgnt_no
[20230509_오프라인오퍼살적적재.SQL	wl_sl_sale_hdr_dc
[20230509_오프라인오퍼살적적재.SQL	wl_sl_str_info
[20230509_오프라인중행사적재.SQL	d_intg_memb
[20230509_오프라인중행사적재.SQL	d_lgpromo
[20230509_오프라인중행사적재.SQL	d_memb
[20230509_오프라인중행사적재.SQL	d_midpromo
[20230509_오프라인중행사적재.SQL	fl_mk_prmtn_actrslt_temp
[20230509_오프라인중행사적재.SQL	fl_mk_prmtn_exch_sl_temp
[20230509_오프라인중행사적재.SQL	fl_sl_prod_sl
[20230509_오프라인중행사적재.SQL	temp_midpromo_actrslt_01
[20230509_오프라인중행사적재.SQL	wl_sl_pspt_rcgnt_no
[20230509_오프라인중행사적재.SQL	wl_sl_str_info
행사구간대별실적조회.sql	ldf_dw.d_dept
행사구간대별실적조회.sql	ldf_dw.d_lgpromo
행사구간대별실적조회.sql	ldf_dw.d_midpromo
행사구간대별실적조회.sql	ldf_dw.d_prmtn
행사구간대별실적조회.sql	ldf_dw.d_prmtn_lgcsf
행사구간대별실적조회.sql	ldf_dw.d_prmtn_mdcsf
행사구간대별실적조회.sql	ldf_dw.d_str
행사구간대별실적조회.sql	ldf_dw.d_usr
